April,1999,Alabama,Selma,315
April,1999,Alabama,Mobile,500
April,1999,Alabama,Montgomery,12
April,1999,Kansas,Kansas City,275
April,1999,Kansas,Overland Park,74
April,2000,Alabama,Birmingham,120
April,2000,Alabama,Andalusia,93
April,2000,Alabama,Greenville,91
April,2001,Alabama,Elkmont,63
April,2001,Alabama,Mobile,175
April,2001,Alabama,Axis,324
April,2001,Oklahoma,Wilburton,73
April,2002,Alabama,Huntsville,250
April,2002,Alabama,Montgomery,85
April,2002,Alabama,Pell City,52
April,2002,Alabama,Vernon,219
April,2002,Kansas,Wichita,652
April,2002,Kansas,"Boise, ID",320
April,2002,Oklahoma,Bethany,54
April,2002,Oklahoma,Grove,30
April,2002,Oklahoma,Oklahoma City,30
April,2002,Oklahoma,Oklahoma City,217
April,2003,Alabama,Anniston,80
April,2003,Alabama,Huntsville,140
April,2003,Alabama,Florence,242
April,2003,Kansas,Wichita,43
April,2003,Kansas,Olathe,55
April,2003,Kansas,Kansas City,4
April,2003,Kansas,Wichita,1200
April,2003,Kansas,Shawnee Mission,3
April,2003,Kansas,Kansas City,28
April,2003,Kansas,Ft. Riley,52
April,2003,Oklahoma,Tulsa,141
April,2004,Alabama,Montgomery,341
April,2004,Alabama,Roanoke,45
April,2004,Alabama,Anniston,182
April,2004,Alabama,Athens,63
April,2004,Kansas,Wichita,27
April,2004,Kansas,Hays,178
April,2004,Kansas,Manhattan,256
April,2004,Kansas,Wichita,1
April,2004,Oklahoma,Bristow,1000
April,2004,Oklahoma,Claremore,61
April,2004,Vermont,Georgia,25
April,2004,Washington,Kent,27
April,2004,Washington,Bellevue,43
April,2004,Washington,Redmond,13
April,2004,Washington,Tacoma,82
April,2004,Washington,Kirkland,131
April,2004,Washington,Redmond,87
April,2004,Washington,Brewster,73
April,2004,New Jersey,WEST ORANGE,157
April,2004,New Jersey,MORRISTOWN,145
April,2004,New Jersey,PISCATAWAY,133
April,2004,New Jersey,MAHWAH,108
April,2004,New Jersey,BRIDGEPORT,96
April,2004,New Jersey,SWEDESBORO,50
April,2004,New Jersey,DEEPWATER,43
April,2005,Alabama,Tuscaloosa,80
April,2005,Kansas,Wichita,27
April,2005,Kansas,Wichita,120
April,2005,Kansas,Hays,6
April,2005,Kansas,Wichita,19
April,2005,Kansas,Wichita,20
April,2005,Kansas,Wichita,64
April,2005,Kansas,Wichita,17
April,2005,Kansas,Wichita,90
April,2005,Kansas,Wichita,23
April,2005,Oklahoma,Oklahoma City,500
April,2005,Washington,Richland,350
April,2005,Washington,Redmond,4
April,2005,Washington,Seattle,23
April,2005,Washington,Kent,426
April,2005,Washington,"Bothell, Redmond",26
April,2005,Washington,Burlington,72
April,2005,New Jersey,SECAUCUS,226
April,2005,New Jersey,E. WINDSOR,179
April,2005,New Jersey,MONTVALE,148
April,2005,New Jersey,SECAUCUS,140
April,2005,New Jersey,LINDEN,113
April,2005,New Jersey,AVENEL,67
April,2005,New Jersey,MONROE TWP,53
April,2005,New Jersey,VINELAND,40
April,2005,New Jersey,BEDMINSTER,30
April,2005,New Jersey,PARAMUS/B. RIDGE,5
April,2005,New Jersey,PARAMUS/B. RIDGE,3
April,2005,New Jersey,VINELAND,NA
April,2006,Alaska,Mat-Su,102
April,2006,Kansas,Deerfield,272
April,2006,Kansas,Wichita,313
April,2006,Kansas,Greensboro,93
April,2006,Kansas,Lenexa,93
April,2006,Oklahoma,Oklahoma City,1475
April,2006,Oklahoma,Vinita,190
April,2006,Washington,Tacoma,80
April,2006,Washington,Yelm,47
April,2006,Washington,Bangor,100
April,2006,Washington,SeaTac,28
April,2006,New Jersey,NEWARK,320
April,2006,New Jersey,NORTH BERGEN,139
April,2006,New Jersey,NEWARK,111
April,2006,New Jersey,FAIR LAWN,102
April,2006,New Jersey,LAKEWOOD,94
April,2006,New Jersey,RIDGEFIELD,83
April,2006,New Jersey,RIDGEWOOD,71
April,2006,New Jersey,DAYTON,66
April,2006,New Jersey,BLOOMSBURY,64
April,2006,New Jersey,GARFIELD,46
April,2006,New Jersey,NEWARK,33
April,2006,New Jersey,CRANFORD/SOMERSET,10
April,2007,Alabama,Birmingham,51
April,2007,Alabama,Sylacauga,243
April,2007,Alabama,Talladega,85
April,2007,Alabama,Birmingham,232
April,2007,Alabama,Heflin,21
April,2007,Kansas,Topeka,120
April,2007,New York,Pearl River,50
April,2007,New York,Melville,50
April,2007,New York,Melville,40
April,2007,New York,Albany,38
April,2007,New York,Cobleskill,25
April,2007,New York,Amherst,161
April,2007,New York,Westbury,43
April,2007,New York,Bohemia,63
April,2007,New York,Orangeburg,168
April,2007,New York,Cobleskill,180
April,2007,New York,Elmsford,169
April,2007,New York,New York,57
April,2007,New York,Little Valley,90
April,2007,New York,New York,75
April,2007,New York,Schenectady,131
April,2007,Oklahoma,Tulsa,160
April,2007,Oklahoma,Tulsa,160
April,2007,Washington,Kent,109
April,2007,Washington,Bothell,1
April,2007,Washington,Cashmere,76
April,2007,Washington,Redmond,1
April,2007,Washington,Bothell,1
April,2007,Washington,Issaquah,260
April,2007,Washington,Bothell,17
April,2007,Washington,Statewide,17
April,2007,New Jersey,HOWELL,206
April,2007,New Jersey,MADISON,83
April,2007,New Jersey,NEWARK,69
April,2007,New Jersey,NEWARK/PAULSBORO,47
April,2008,Alabama,Fairfield,272
April,2008,Alabama,Bessemer,100
April,2008,Alabama,Birmingham,78
April,2008,Kansas,Overland Park,500
April,2008,New York,New York,482
April,2008,New York,East Meadow,103
April,2008,New York,New York,62
April,2008,New York,New York,99
April,2008,New York,College Point,50
