"month","year","state","total_laid_off"
"January",2021,"Alabama",345
"January",2021,"Arizona",170
"January",2021,"California",18772
"January",2021,"Colorado",1176
"January",2021,"Connecticut",62
"January",2021,"Delaware",67
"January",2021,"Florida",1173
"January",2021,"Idaho",370
"January",2021,"Illinois",1083
"January",2021,"Indiana",155
"January",2021,"Iowa",317
"January",2021,"Kentucky",102
"January",2021,"Maryland",970
"January",2021,"Massachusetts",669
"January",2021,"Minnesota",131
"January",2021,"Missouri",97
"January",2021,"Nevada",317
"January",2021,"New Jersey",4171
"January",2021,"North Carolina",557
"January",2021,"Ohio",570
"January",2021,"Oklahoma",0
"January",2021,"Oregon",331
"January",2021,"South Carolina",211
"January",2021,"Texas",1534
"January",2021,"Utah",266
"January",2021,"Virginia",984
"January",2021,"Washington",340
"January",2021,"Wisconsin",637
"January",2022,"Alabama",133
"January",2022,"Arizona",169
"January",2022,"California",2653
"January",2022,"Colorado",383
"January",2022,"Connecticut",26
"January",2022,"Florida",1197
"January",2022,"Illinois",186
"January",2022,"Indiana",134
"January",2022,"Iowa",53
"January",2022,"Kentucky",820
"January",2022,"Maryland",230
"January",2022,"Massachusetts",222
"January",2022,"Michigan",289
"January",2022,"Minnesota",99
"January",2022,"Missouri",381
"January",2022,"Nevada",176
"January",2022,"New Jersey",1146
"January",2022,"North Carolina",67
"January",2022,"Ohio",721
"January",2022,"Oklahoma",106
"January",2022,"Oregon",309
"January",2022,"South Carolina",681
"January",2022,"Texas",606
"January",2022,"Utah",53
"January",2022,"Virginia",347
"January",2022,"Washington",205
"January",2022,"Washington, D.C.",42
"January",2022,"West Virginia",1
"January",2022,"Wisconsin",506
"January",2023,"Alabama",224
"January",2023,"Arizona",288
"January",2023,"California",5461
"January",2023,"Colorado",753
"January",2023,"Connecticut",1
"January",2023,"Florida",520
"January",2023,"Georgia",267
"January",2023,"Indiana",212
"January",2023,"Iowa",62
"January",2023,"Kansas",73
"January",2023,"Maryland",151
"January",2023,"Massachusetts",112
"January",2023,"Michigan",133
"January",2023,"North Carolina",4
"January",2023,"Ohio",672
"January",2023,"Oregon",7
"January",2023,"Rhode Island",81
"January",2023,"Texas",1491
"January",2023,"Virginia",254
"January",2023,"Washington",NA
"January",2023,"Wisconsin",159
"July",1998,"Alabama",2202
"July",1999,"Alabama",472
"July",1999,"Kansas",704
"July",2000,"Alabama",555
"July",2001,"Alabama",1626
"July",2001,"Kansas",340
"July",2001,"Oklahoma",162
"July",2002,"Alabama",747
"July",2002,"Kansas",1471
"July",2002,"Oklahoma",839
"July",2003,"Alabama",566
"July",2003,"Kansas",160
"July",2003,"Oklahoma",1651
"July",2003,"Vermont",142
"July",2004,"Alabama",966
"July",2004,"Kansas",467
"July",2004,"New Jersey",2749
"July",2004,"Oklahoma",240
"July",2004,"Washington",684
"July",2005,"Kansas",178
"July",2005,"New Jersey",1075
"July",2005,"Oklahoma",66
"July",2005,"Vermont",68
"July",2005,"Washington",903
"July",2006,"Alabama",1506
"July",2006,"New Jersey",NA
"July",2006,"New York",875
"July",2006,"Oklahoma",160
"July",2006,"Washington",909
"July",2007,"Alabama",534
"July",2007,"Kansas",165
"July",2007,"New Jersey",NA
"July",2007,"New York",NA
"July",2007,"Oklahoma",580
"July",2007,"South Dakota",225
"July",2007,"Washington",222
"July",2008,"Alabama",69
"July",2008,"Indiana",2130
"July",2008,"Kansas",324
"July",2008,"New Jersey",1949
"July",2008,"New York",NA
"July",2008,"Oklahoma",365
"July",2008,"Washington",1478
"July",2009,"Alabama",998
"July",2009,"Delaware",122
"July",2009,"Indiana",744
"July",2009,"Kansas",449
"July",2009,"New Jersey",NA
"July",2009,"New York",NA
"July",2009,"Oklahoma",99
"July",2009,"Rhode Island",166
"July",2009,"South Dakota",272
"July",2009,"Utah",131
"July",2009,"Washington",408
"July",2010,"Alabama",525
"July",2010,"Arizona",687
"July",2010,"Indiana",259
"July",2010,"Kansas",594
"July",2010,"Maryland",1288
"July",2010,"New Jersey",1083
"July",2010,"New York",NA
"July",2010,"Utah",39
"July",2010,"Virginia",173
"July",2010,"Washington",188
"July",2011,"Alabama",118
"July",2011,"Arizona",397
"July",2011,"Indiana",325
"July",2011,"Kansas",282
"July",2011,"Maryland",391
"July",2011,"New Jersey",449
"July",2011,"New York",NA
"July",2011,"Oregon",250
"July",2011,"Texas",NA
"July",2011,"Utah",136
"July",2011,"Virginia",24
"July",2011,"Washington",891
"July",2012,"Alabama",87
"July",2012,"Arizona",444
"July",2012,"Delaware",426
"July",2012,"Idaho",107
"July",2012,"Indiana",105
"July",2012,"Kansas",46
"July",2012,"Maryland",55
"July",2012,"New Jersey",911
"July",2012,"New York",1093
"July",2012,"Oklahoma",222
"July",2012,"Oregon",46
"July",2012,"Texas",573
"July",2012,"Utah",779
"July",2012,"Virginia",118
"July",2012,"Washington",280
"July",2012,"Washington, D.C.",217
"July",2013,"Alabama",884
"July",2013,"Arizona",331
"July",2013,"Idaho",356
"July",2013,"Indiana",72
"July",2013,"Kansas",88
"July",2013,"Maryland",NA
"July",2013,"New Jersey",468
"July",2013,"New York",NA
"July",2013,"Oklahoma",52
"July",2013,"Oregon",234
"July",2013,"South Dakota",39
"July",2013,"Texas",1644
"July",2013,"Utah",269
"July",2013,"Virginia",8
"July",2013,"Washington",691
"July",2014,"Alabama",204
"July",2014,"Arizona",79
"July",2014,"California",3513
"July",2014,"Idaho",595
"July",2014,"Indiana",984
"July",2014,"Kansas",66
"July",2014,"Maryland",198
"July",2014,"New Jersey",4123
"July",2014,"New York",1777
"July",2014,"Oklahoma",62
"July",2014,"Oregon",5
"July",2014,"Rhode Island",147
"July",2014,"Texas",NA
"July",2014,"Utah",279
"July",2014,"Virginia",1339
"July",2014,"Washington",1446
"July",2015,"Alabama",721
"July",2015,"Arizona",282
"July",2015,"California",8574
"July",2015,"Colorado",NA
"July",2015,"Connecticut",291
"July",2015,"Delaware",131
"July",2015,"Idaho",115
"July",2015,"Indiana",376
"July",2015,"Kansas",203
"July",2015,"Maryland",102
"July",2015,"Missouri",NA
"July",2015,"New Jersey",1052
"July",2015,"New York",2720
"July",2015,"North Dakota",95
"July",2015,"Oregon",960
"July",2015,"Texas",5959
"July",2015,"Virginia",557
"July",2015,"Washington",264
"July",2016,"Alabama",14
"July",2016,"California",4346
"July",2016,"Colorado",631
"July",2016,"Connecticut",86
"July",2016,"Florida",2063
"July",2016,"Idaho",68
"July",2016,"Indiana",307
"July",2016,"Iowa",213
"July",2016,"Kansas",153
"July",2016,"Michigan",426
"July",2016,"Missouri",69
"July",2016,"New Jersey",985
"July",2016,"New Mexico",NA
"July",2016,"New York",1395
"July",2016,"Oklahoma",497
"July",2016,"Oregon",219
"July",2016,"Texas",1228
"July",2016,"Utah",413
"July",2016,"Virginia",233
"July",2016,"Washington",537
"July",2016,"West Virginia",126
"July",2016,"Wisconsin",287
"July",2017,"Alabama",832
"July",2017,"California",3564
"July",2017,"Colorado",285
"July",2017,"Connecticut",152
"July",2017,"Florida",1762
"July",2017,"Indiana",1048
"July",2017,"Iowa",296
"July",2017,"Kentucky",252
"July",2017,"Maryland",317
"July",2017,"Michigan",668
"July",2017,"Missouri",250
"July",2017,"Nebraska",NA
"July",2017,"Nevada",87
"July",2017,"New Jersey",126
"July",2017,"New Mexico",204
"July",2017,"New York",1140
"July",2017,"Oregon",259
"July",2017,"Texas",2441
"July",2017,"Utah",250
"July",2017,"Virginia",389
"July",2017,"Washington",398
"July",2017,"Washington, D.C.",79
"July",2017,"West Virginia",117
"July",2017,"Wisconsin",658
"July",2018,"Alabama",268
"July",2018,"Alaska",74
"July",2018,"Arizona",102
"July",2018,"California",4855
"July",2018,"Colorado",NA
"July",2018,"Connecticut",394
"July",2018,"Delaware",99
"July",2018,"Florida",2240
"July",2018,"Idaho",707
"July",2018,"Indiana",457
"July",2018,"Iowa",110
"July",2018,"Kansas",88
"July",2018,"Kentucky",1176
"July",2018,"Maryland",291
"July",2018,"Michigan",70
"July",2018,"Missouri",120
"July",2018,"Nebraska",162
"July",2018,"New Jersey",953
"July",2018,"New York",1489
"July",2018,"North Carolina",350
"July",2018,"Oklahoma",380
"July",2018,"Texas",2886
"July",2018,"Utah",188
"July",2018,"Virginia",656
"July",2018,"Washington",168
"July",2018,"West Virginia",481
"July",2018,"Wisconsin",280
"July",2019,"Alabama",171
"July",2019,"Arizona",226
"July",2019,"California",2564
"July",2019,"Colorado",715
"July",2019,"Connecticut",217
"July",2019,"Florida",1164
"July",2019,"Indiana",443
"July",2019,"Iowa",190
"July",2019,"Kansas",158
"July",2019,"Kentucky",432
"July",2019,"Maine",167
"July",2019,"Maryland",995
"July",2019,"Massachusetts",228
"July",2019,"Michigan",369
"July",2019,"Minnesota",453
"July",2019,"Missouri",191
"July",2019,"Nebraska",NA
"July",2019,"Nevada",288
"July",2019,"New Jersey",1208
"July",2019,"New Mexico",177
"July",2019,"New York",1233
"July",2019,"North Carolina",415
"July",2019,"Oklahoma",445
"July",2019,"Oregon",72
"July",2019,"Texas",716
"July",2019,"Utah",67
"July",2019,"Virginia",754
"July",2019,"Washington",421
"July",2019,"Washington, D.C.",378
"July",2019,"Wisconsin",630
"July",2020,"Alabama",640
"July",2020,"Alaska",395
"July",2020,"Arizona",2209
"July",2020,"California",32995
"July",2020,"Colorado",NA
"July",2020,"Connecticut",1511
"July",2020,"Delaware",169
"July",2020,"Florida",18060
"July",2020,"Idaho",20
"July",2020,"Illinois",NA
"July",2020,"Indiana",2218
"July",2020,"Iowa",525
"July",2020,"Kansas",2270
"July",2020,"Kentucky",NA
"July",2020,"Louisiana",2538
"July",2020,"Maine",59
"July",2020,"Maryland",1163
"July",2020,"Massachusetts",NA
"July",2020,"Michigan",NA
"July",2020,"Minnesota",NA
"July",2020,"Missouri",NA
"July",2020,"Nebraska",330
"July",2020,"Nevada",NA
"July",2020,"New Jersey",8363
"July",2020,"New Mexico",409
"July",2020,"New York",24699
"July",2020,"North Carolina",3457
"July",2020,"North Dakota",200
"July",2020,"Ohio",6306
"July",2020,"Oklahoma",1916
"July",2020,"Oregon",2057
"July",2020,"Rhode Island",1539
"July",2020,"South Carolina",1211
"July",2020,"Texas",4715
"July",2020,"Utah",371
"July",2020,"Virginia",4070
"July",2020,"Washington",5042
"July",2020,"Washington, D.C.",1775
"July",2020,"West Virginia",NA
"July",2020,"Wisconsin",5067
"July",2021,"Alabama",365
"July",2021,"Alaska",134
"July",2021,"California",2330
"July",2021,"Colorado",521
"July",2021,"Connecticut",859
"July",2021,"Florida",375
"July",2021,"Idaho",86
"July",2021,"Illinois",1185
"July",2021,"Iowa",365
"July",2021,"Kentucky",659
"July",2021,"Maine",310
"July",2021,"Massachusetts",83
"July",2021,"Michigan",70
"July",2021,"Minnesota",105
"July",2021,"Missouri",277
"July",2021,"Nebraska",101
"July",2021,"Nevada",95
"July",2021,"New Jersey",953
"July",2021,"North Carolina",283
"July",2021,"Ohio",128
"July",2021,"Oregon",579
"July",2021,"South Carolina",94
"July",2021,"Texas",992
"July",2021,"Utah",92
"July",2021,"Vermont",254
"July",2021,"Virginia",375
"July",2021,"Washington",294
"July",2021,"Wisconsin",182
"July",2022,"Arizona",133
"July",2022,"California",5597
"July",2022,"Colorado",903
"July",2022,"Connecticut",489
"July",2022,"Florida",698
"July",2022,"Illinois",375
"July",2022,"Indiana",851
"July",2022,"Iowa",225
"July",2022,"Kentucky",66
"July",2022,"Maine",139
"July",2022,"Maryland",1081
"July",2022,"Massachusetts",139
"July",2022,"Michigan",67
"July",2022,"Minnesota",4
"July",2022,"Nevada",230
"July",2022,"New Jersey",441
"July",2022,"New Mexico",98
"July",2022,"North Carolina",603
"July",2022,"Ohio",404
"July",2022,"Oklahoma",439
"July",2022,"Oregon",97
"July",2022,"South Carolina",115
"July",2022,"Texas",1095
"July",2022,"Washington",83
"July",2022,"Washington, D.C.",82
"July",2022,"Wisconsin",656
"June",1999,"Alabama",499
"June",1999,"Kansas",1312
"June",2000,"Alabama",241
"June",2000,"Kansas",85
"June",2001,"Alabama",983
"June",2001,"Kansas",200
"June",2001,"Oklahoma",164
"June",2002,"Alabama",50
"June",2002,"Kansas",812
"June",2002,"Oklahoma",146
"June",2003,"Alabama",261
"June",2003,"Kansas",142
"June",2003,"Oklahoma",488
"June",2004,"Alabama",841
"June",2004,"Kansas",789
"June",2004,"New Jersey",NA
"June",2004,"Oklahoma",214
"June",2004,"Washington",320
"June",2005,"Alabama",463
"June",2005,"Kansas",138
"June",2005,"New Jersey",851
"June",2005,"Oklahoma",235
"June",2005,"Washington",334
"June",2006,"Alabama",1031
"June",2006,"Alaska",171
"June",2006,"Kansas",243
"June",2006,"New Jersey",742
"June",2006,"Washington",1153
"June",2007,"Alabama",99
"June",2007,"Kansas",217
"June",2007,"New Jersey",622
"June",2007,"New York",2626
"June",2007,"Oklahoma",320
"June",2007,"Washington",451
"June",2008,"Alabama",769
"June",2008,"Kansas",159
"June",2008,"New Jersey",2524
"June",2008,"New York",NA
"June",2008,"Oklahoma",114
"June",2008,"Vermont",69
"June",2009,"Alabama",496
"June",2009,"Delaware",757
"June",2009,"Idaho",128
"June",2009,"Indiana",1613
"June",2009,"Kansas",2142
"June",2009,"New Jersey",1448
"June",2009,"New York",NA
"June",2009,"Oklahoma",268
"June",2009,"Utah",570
"June",2009,"Vermont",238
"June",2009,"Washington",559
"June",2010,"Alabama",240
"June",2010,"Arizona",236
"June",2010,"Indiana",280
"June",2010,"Kansas",37
"June",2010,"Maryland",361
"June",2010,"New Jersey",1385
"June",2010,"New York",1430
"June",2010,"Oklahoma",655
"June",2010,"Utah",141
"June",2010,"Washington",183
"June",2011,"Alabama",293
"June",2011,"Arizona",349
"June",2011,"Indiana",261
"June",2011,"Kansas",410
"June",2011,"Maryland",868
"June",2011,"New Jersey",487
"June",2011,"New York",NA
"June",2011,"Texas",1399
"June",2011,"Virginia",338
"June",2011,"Washington",309
"June",2012,"Alabama",527
"June",2012,"Alaska",90
"June",2012,"Idaho",NA
"June",2012,"Indiana",473
"June",2012,"Kansas",194
"June",2012,"Maryland",179
"June",2012,"New Jersey",539
"June",2012,"New York",2796
"June",2012,"Oklahoma",448
"June",2012,"Oregon",52
"June",2012,"Rhode Island",51
"June",2012,"Texas",3164
"June",2012,"Utah",419
"June",2012,"Virginia",967
"June",2012,"Washington",241
"June",2012,"Washington, D.C.",284
"June",2013,"Alabama",816
"June",2013,"Indiana",207
"June",2013,"Kansas",68
"June",2013,"New York",1823
"June",2013,"Oregon",57
"June",2013,"Rhode Island",3
"June",2013,"Texas",2574
"June",2013,"Utah",193
"June",2013,"Virginia",426
"June",2013,"Washington",268
"June",2013,"Washington, D.C.",50
"June",2014,"Arizona",183
"June",2014,"Indiana",266
"June",2014,"Kansas",142
"June",2014,"New Jersey",5547
"June",2014,"New York",1627
"June",2014,"Oklahoma",91
"June",2014,"Oregon",164
"June",2014,"South Dakota",750
"June",2014,"Texas",1439
"June",2014,"Virginia",506
"June",2014,"Washington",377
"June",2015,"Alabama",191
"June",2015,"Arizona",60
"June",2015,"California",3830
"June",2015,"Colorado",98
"June",2015,"Connecticut",32
"June",2015,"Idaho",65
"June",2015,"Indiana",176
"June",2015,"Kansas",231
"June",2015,"Maine",200
"June",2015,"Maryland",459
"June",2015,"New Jersey",1167
"June",2015,"New York",1499
"June",2015,"Oklahoma",653
"June",2015,"Rhode Island",70
"June",2015,"Texas",2477
"June",2015,"Utah",75
"June",2015,"Virginia",322
"June",2015,"Washington",294
"June",2015,"Washington, D.C.",NA
"June",2016,"Alabama",401
"June",2016,"Arizona",507
"June",2016,"California",4786
"June",2016,"Colorado",NA
"June",2016,"Connecticut",496
"June",2016,"Florida",921
"June",2016,"Idaho",121
"June",2016,"Indiana",270
"June",2016,"Iowa",346
"June",2016,"Maryland",276
"June",2016,"Michigan",980
"June",2016,"Missouri",170
"June",2016,"Montana",100
"June",2016,"New Jersey",748
"June",2016,"New Mexico",11
"June",2016,"New York",NA
"June",2016,"Oklahoma",228
"June",2016,"Oregon",265
"June",2016,"Texas",2526
"June",2016,"Utah",569
"June",2016,"Vermont",165
"June",2016,"Virginia",615
"June",2016,"Washington",319
"June",2016,"Washington, D.C.",179
"June",2016,"West Virginia",2754
"June",2016,"Wisconsin",263
"June",2017,"Alabama",158
"June",2017,"Arizona",78
"June",2017,"California",3135
"June",2017,"Colorado",380
"June",2017,"Connecticut",229
"June",2017,"Florida",1648
"June",2017,"Indiana",311
"June",2017,"Iowa",180
"June",2017,"Kansas",1123
"June",2017,"Kentucky",54
"June",2017,"Maryland",263
"June",2017,"Michigan",5
"June",2017,"Missouri",150
"June",2017,"Nebraska",NA
"June",2017,"Nevada",76
"June",2017,"New Jersey",1084
"June",2017,"New York",2710
"June",2017,"Oklahoma",226
"June",2017,"Oregon",599
"June",2017,"Texas",896
"June",2017,"Vermont",66
"June",2017,"Virginia",405
"June",2017,"Washington",680
"June",2017,"West Virginia",9
"June",2017,"Wisconsin",500
"June",2018,"Alabama",445
"June",2018,"Alaska",101
"June",2018,"Arizona",508
"June",2018,"California",4525
"June",2018,"Colorado",600
"June",2018,"Connecticut",165
"June",2018,"Delaware",66
"June",2018,"Florida",1499
"June",2018,"Indiana",249
"June",2018,"Iowa",243
"June",2018,"Kentucky",113
"June",2018,"Maryland",412
"June",2018,"Michigan",1187
"June",2018,"Missouri",726
"June",2018,"Nebraska",312
"June",2018,"Nevada",470
"June",2018,"New Jersey",766
"June",2018,"New York",2252
"June",2018,"North Carolina",2254
"June",2018,"Oklahoma",49
"June",2018,"Oregon",304
"June",2018,"Rhode Island",213
"June",2018,"South Dakota",158
"June",2018,"Texas",715
"June",2018,"Utah",155
"June",2018,"Vermont",116
"June",2018,"Virginia",1035
"June",2018,"Washington",304
"June",2018,"Washington, D.C.",89
"June",2018,"West Virginia",9
"June",2018,"Wisconsin",979
"June",2019,"Alabama",95
"June",2019,"Alaska",173
"June",2019,"Arizona",546
"June",2019,"California",5460
"June",2019,"Connecticut",226
"June",2019,"Delaware",525
"June",2019,"Florida",809
"June",2019,"Indiana",206
"June",2019,"Iowa",1087
"June",2019,"Kentucky",282
"June",2019,"Maryland",278
"June",2019,"Michigan",338
"June",2019,"Minnesota",1203
"June",2019,"Missouri",92
"June",2019,"Nebraska",779
"June",2019,"New Jersey",326
"June",2019,"New York",NA
"June",2019,"North Carolina",756
"June",2019,"Oklahoma",441
"June",2019,"Oregon",303
"June",2019,"Texas",468
"June",2019,"Utah",139
"June",2019,"Virginia",1045
"June",2019,"Washington",1098
"June",2019,"West Virginia",56
"June",2019,"Wisconsin",247
"June",2020,"Alabama",94
"June",2020,"Arizona",6852
"June",2020,"California",56596
"June",2020,"Colorado",5301
"June",2020,"Connecticut",1389
"June",2020,"Delaware",194
"June",2020,"Florida",29062
"June",2020,"Idaho",4
"June",2020,"Illinois",15344
"June",2020,"Indiana",1329
"June",2020,"Iowa",895
"June",2020,"Kansas",1280
"June",2020,"Kentucky",568
"June",2020,"Louisiana",4724
"June",2020,"Maine",221
"June",2020,"Maryland",NA
"June",2020,"Massachusetts",NA
"June",2020,"Michigan",NA
"June",2020,"Minnesota",1614
"June",2020,"Missouri",NA
"June",2020,"Nebraska",165
"June",2020,"Nevada",5405
"June",2020,"New Jersey",1289
"June",2020,"New Mexico",159
"June",2020,"New York",NA
"June",2020,"North Carolina",1751
"June",2020,"Ohio",4533
"June",2020,"Oklahoma",523
"June",2020,"Oregon",3252
"June",2020,"Rhode Island",201
"June",2020,"South Carolina",998
"June",2020,"Texas",4860
"June",2020,"Utah",268
"June",2020,"Virginia",3033
"June",2020,"Washington",NA
"June",2020,"Washington, D.C.",5105
"June",2020,"West Virginia",4150
"June",2020,"Wisconsin",3772
"June",2021,"Alabama",109
"June",2021,"Arizona",270
"June",2021,"California",3300
"June",2021,"Colorado",291
"June",2021,"Connecticut",164
"June",2021,"Delaware",132
"June",2021,"Florida",664
"June",2021,"Illinois",616
"June",2021,"Indiana",259
"June",2021,"Iowa",804
"June",2021,"Kansas",162
"June",2021,"Kentucky",54
"June",2021,"Louisiana",108
"June",2021,"Michigan",133
"June",2021,"Minnesota",185
"June",2021,"Missouri",573
"June",2021,"New Jersey",1037
"June",2021,"New Mexico",94
"June",2021,"Ohio",25
"June",2021,"Oklahoma",125
"June",2021,"South Carolina",33
"June",2021,"South Dakota",300
"June",2021,"Texas",497
"June",2021,"Utah",95
"June",2021,"Virginia",598
"June",2021,"Washington",117
"June",2021,"West Virginia",180
"June",2021,"Wisconsin",744
"June",2022,"Alabama",113
"June",2022,"Arizona",368
"June",2022,"California",2509
"June",2022,"Colorado",304
"June",2022,"Florida",328
"June",2022,"Illinois",993
"June",2022,"Indiana",81
"June",2022,"Iowa",316
"June",2022,"Kansas",272
"June",2022,"Kentucky",628
"June",2022,"Louisiana",58
"June",2022,"Maryland",446
"June",2022,"Massachusetts",116
"June",2022,"Michigan",412
"June",2022,"Minnesota",97
"June",2022,"Missouri",537
"June",2022,"Nebraska",186
"June",2022,"Nevada",30
"June",2022,"New Jersey",250
"June",2022,"New Mexico",116
"June",2022,"North Carolina",721
"June",2022,"Ohio",186
"June",2022,"Oregon",156
"June",2022,"South Carolina",580
"June",2022,"Texas",1093
"June",2022,"Vermont",80
"June",2022,"Virginia",270
"June",2022,"Washington",207
"June",2022,"Wisconsin",244
"March",1999,"Alabama",1492
"March",1999,"Kansas",86
"March",2000,"Alabama",1518
"March",2001,"Alabama",1873
"March",2001,"Kansas",169
"March",2001,"Oklahoma",271
"March",2002,"Alabama",764
"March",2002,"Kansas",924
"March",2002,"Oklahoma",498
"March",2003,"Alabama",188
"March",2003,"Kansas",1035
"March",2003,"Oklahoma",820
"March",2004,"Alabama",882
"March",2004,"Kansas",116
"March",2004,"New Jersey",671
"March",2004,"Oklahoma",100
"March",2004,"Washington",2440
"March",2005,"Alabama",556
"March",2005,"Kansas",8320
"March",2005,"New Jersey",NA
"March",2005,"Washington",574
"March",2006,"Alabama",784
"March",2006,"Kansas",166
"March",2006,"New Jersey",777
"March",2006,"Oklahoma",58
"March",2006,"Washington",70
"March",2007,"Alabama",1147
"March",2007,"Kansas",226
"March",2007,"New Jersey",330
"March",2007,"New York",3159
"March",2007,"Washington",287
"March",2008,"Alabama",1101
"March",2008,"New Jersey",1972
"March",2008,"New York",NA
"March",2008,"Washington",899
"March",2009,"Alabama",3395
"March",2009,"Delaware",162
"March",2009,"Idaho",111
"March",2009,"Indiana",3166
"March",2009,"Kansas",805
"March",2009,"New Jersey",1942
"March",2009,"New York",5175
"March",2009,"Oklahoma",1355
"March",2009,"Rhode Island",287
"March",2009,"Utah",166
"March",2009,"Washington",898
"March",2010,"Alabama",142
"March",2010,"Alaska",109
"March",2010,"Indiana",405
"March",2010,"Kansas",1014
"March",2010,"Maryland",862
"March",2010,"New Jersey",703
"March",2010,"New York",NA
"March",2010,"Oklahoma",335
"March",2010,"South Dakota",84
"March",2010,"Washington",543
"March",2011,"Alabama",911
"March",2011,"Arizona",217
"March",2011,"Indiana",265
"March",2011,"Kansas",95
"March",2011,"Maryland",589
"March",2011,"New Jersey",4037
"March",2011,"New York",1598
"March",2011,"Oklahoma",106
"March",2011,"Texas",666
"March",2011,"Utah",390
"March",2011,"Virginia",402
"March",2011,"Washington",72
"March",2012,"Alabama",239
"March",2012,"Arizona",274
"March",2012,"Indiana",185
"March",2012,"Kansas",932
"March",2012,"Maryland",287
"March",2012,"New Jersey",398
"March",2012,"New York",2013
"March",2012,"Oklahoma",175
"March",2012,"Oregon",764
"March",2012,"Texas",2033
"March",2012,"Virginia",575
"March",2012,"Washington",39
"March",2013,"Alabama",727
"March",2013,"Arizona",195
"March",2013,"Indiana",669
"March",2013,"Kansas",85
"March",2013,"Maryland",668
"March",2013,"New Jersey",817
"March",2013,"New York",6145
"March",2013,"Oklahoma",318
"March",2013,"Oregon",122
"March",2013,"Texas",1647
"March",2013,"Utah",19
"March",2013,"Vermont",201
"March",2013,"Virginia",1454
"March",2013,"Washington",255
"March",2013,"Washington, D.C.",20
"March",2014,"Alabama",381
"March",2014,"Arizona",187
"March",2014,"Idaho",206
"March",2014,"Indiana",312
"March",2014,"Kansas",1190
"March",2014,"Maryland",470
"March",2014,"New Jersey",479
"March",2014,"New York",3111
"March",2014,"Oklahoma",355
"March",2014,"Oregon",114
"March",2014,"Rhode Island",115
"March",2014,"Texas",1283
"March",2014,"Utah",808
"March",2014,"Vermont",248
"March",2014,"Virginia",1216
"March",2014,"Washington",92
"March",2015,"Alabama",482
"March",2015,"Arizona",349
"March",2015,"California",5600
"March",2015,"Colorado",410
"March",2015,"Connecticut",186
"March",2015,"Idaho",165
"March",2015,"Indiana",831
"March",2015,"Kansas",171
"March",2015,"Maryland",122
"March",2015,"New Jersey",104
"March",2015,"New York",NA
"March",2015,"Oklahoma",600
"March",2015,"Oregon",88
"March",2015,"Rhode Island",347
"March",2015,"Texas",1605
"March",2015,"Utah",95
"March",2015,"Virginia",1086
"March",2015,"Washington",102
"March",2016,"Alabama",300
"March",2016,"Alaska",113
"March",2016,"Arizona",195
"March",2016,"California",3860
"March",2016,"Colorado",NA
"March",2016,"Connecticut",153
"March",2016,"Florida",898
"March",2016,"Indiana",251
"March",2016,"Iowa",618
"March",2016,"Kansas",74
"March",2016,"Maine",210
"March",2016,"Maryland",325
"March",2016,"Michigan",161
"March",2016,"Missouri",349
"March",2016,"Montana",NA
"March",2016,"New Jersey",104
"March",2016,"New Mexico",160
"March",2016,"New York",3183
"March",2016,"North Dakota",130
"March",2016,"Oklahoma",80
"March",2016,"Oregon",831
"March",2016,"South Dakota",63
"March",2016,"Texas",3422
"March",2016,"Utah",93
"March",2016,"Virginia",536
"March",2016,"Washington",854
"March",2016,"Washington, D.C.",88
"March",2016,"West Virginia",70
"March",2016,"Wisconsin",413
"March",2017,"Arizona",53
"March",2017,"California",5001
"March",2017,"Colorado",171
"March",2017,"Connecticut",116
"March",2017,"Florida",5252
"March",2017,"Idaho",6
"March",2017,"Indiana",620
"March",2017,"Iowa",262
"March",2017,"Kansas",139
"March",2017,"Kentucky",NA
"March",2017,"Maryland",407
"March",2017,"Michigan",NA
"March",2017,"Missouri",169
"March",2017,"Montana",80
"March",2017,"Nebraska",NA
"March",2017,"Nevada",124
"March",2017,"New Jersey",1214
"March",2017,"New York",2629
"March",2017,"Oklahoma",30
"March",2017,"Oregon",62
"March",2017,"Texas",2373
"March",2017,"Utah",410
"March",2017,"Vermont",90
"March",2017,"Virginia",608
"March",2017,"Washington",1496
"March",2017,"West Virginia",117
"March",2017,"Wisconsin",377
"March",2018,"Alabama",340
"March",2018,"Arizona",417
"March",2018,"California",4835
"March",2018,"Colorado",339
"March",2018,"Florida",1867
"March",2018,"Idaho",136
"March",2018,"Indiana",207
"March",2018,"Iowa",2
"March",2018,"Kansas",474
"March",2018,"Kentucky",128
"March",2018,"Maryland",614
"March",2018,"Michigan",298
"March",2018,"Missouri",230
"March",2018,"Nebraska",NA
"March",2018,"Nevada",462
"March",2018,"New Jersey",2340
"March",2018,"New York",2122
"March",2018,"North Carolina",2118
"March",2018,"Oregon",430
"March",2018,"South Dakota",108
"March",2018,"Texas",469
"March",2018,"Vermont",130
"March",2018,"Virginia",4478
"March",2018,"Washington",314
"March",2018,"Washington, D.C.",243
"March",2018,"Wisconsin",1426
"March",2019,"Alabama",333
"March",2019,"Arizona",616
"March",2019,"California",5657
"March",2019,"Colorado",1088
"March",2019,"Florida",1104
"March",2019,"Indiana",469
"March",2019,"Iowa",481
"March",2019,"Kansas",343
"March",2019,"Kentucky",396
"March",2019,"Maryland",1730
"March",2019,"Michigan",844
"March",2019,"Minnesota",NA
"March",2019,"Missouri",277
"March",2019,"Nebraska",NA
"March",2019,"Nevada",141
